Date,Stock,Signal,Trade Net PnL,Equity,Peak Equity,Drawdown,Drawdown %
2021-10-04,IRFC,SELL,-1040.8539630261125,98959.14603697389,100000.0,-1040.8539630261075,-1.0408539630261076
2021-10-07,TATAMOTORS,BUY,1932.8823929655248,100892.02842993941,100892.02842993941,0.0,0.0
2021-10-28,IRFC,BUY,-1047.315062638844,99844.71336730057,100892.02842993941,-1047.3150626388378,-1.0380553141184048
2022-01-14,IRFC,SELL,-1039.4285205105002,98805.28484679006,100892.02842993941,-2086.7435831493494,-2.0682938143110166
2022-06-27,SBIN,SELL,-1009.463013612899,97795.82183317716,100892.02842993941,-3096.2065967622475,-3.0688317451286937
2022-07-13,SUZLON,SELL,1558.7819437939206,99354.6037769711,100892.02842993941,-1537.424652968315,-1.5238316415017075
2022-08-02,SBIN,BUY,1578.0075019008307,100932.61127887192,100932.61127887192,0.0,0.0
2022-09-09,SUZLON,BUY,-1047.7360718799973,99884.87520699193,100932.61127887192,-1047.73607187999,-1.0380550533713488
2022-10-17,SUZLON,SELL,-837.3486333698097,99047.52657362212,100932.61127887192,-1885.0847052497993,-1.8676666355548865
2022-10-19,RELIANCE,SELL,-1012.8622258015957,98034.66434782052,100932.61127887192,-2897.946931051396,-2.8711700750954603
2022-11-01,TATAMOTORS,SELL,-665.9844312681488,97368.67991655237,100932.61127887192,-3563.9313623195485,-3.531000850134134
2022-11-16,IRFC,BUY,1543.5296649072302,98912.2095814596,100932.61127887192,-2020.4016974123224,-2.0017333068199834
2022-12-05,SUZLON,BUY,1575.5734841471642,100487.78306560677,100932.61127887192,-444.82821326515113,-0.4407180272351345
2022-12-08,TATAMOTORS,BUY,-661.88889883116,99825.8941667756,100932.61127887192,-1106.7171120963176,-1.0964911123110763
2023-01-24,RELIANCE,BUY,-955.0194416883121,98870.87472508728,100932.61127887192,-2061.7365537846345,-2.042686231596799
2023-01-27,TATAMOTORS,SELL,-847.8157514041795,98023.05897368312,100932.61127887192,-2909.5523051888013,-2.8826682162713984
2023-02-27,TATAMOTORS,BUY,-817.0063752645812,97206.05259841854,100932.61127887192,-3726.5586804533814,-3.692125501595396
2023-03-28,SUZLON,SELL,1529.8469755211252,98735.89957393965,100932.61127887192,-2196.7117049322696,-2.176414220437497
2023-04-06,TATAMOTORS,SELL,-695.9114408131379,98039.98813312652,100932.61127887192,-2892.623145745398,-2.865895481246611
2023-04-11,SBIN,SELL,-636.9543059921089,97403.03382713441,100932.61127887192,-3529.5774517375103,-3.4969643676268896
2023-05-02,RELIANCE,SELL,-723.2195421899926,96679.81428494441,100932.61127887192,-4252.796993927506,-4.213501404592847
2023-05-31,SUZLON,BUY,1591.6615089375023,98271.47579388192,100932.61127887192,-2661.1354849899944,-2.6365467526024924
2023-07-10,RELIANCE,BUY,1546.2937687707506,99817.76956265267,100932.61127887192,-1114.841716219249,-1.104540645578856
2023-07-21,SBIN,BUY,1279.185738525001,101096.95530117767,101096.95530117767,0.0,0.0
2024-12-20,TATAMOTORS,SELL,1577.7254743608607,102674.68077553854,102674.68077553854,0.0,0.0
2024-12-20,RELIANCE,SELL,1970.8331490450032,104645.51392458353,104645.51392458353,0.0,0.0
2025-01-30,IRFC,SELL,-1083.1615130771622,103562.35241150638,104645.51392458353,-1083.1615130771534,-1.0350768728201496
2025-02-21,SUZLON,SELL,-863.1652701717782,102699.1871413346,104645.51392458353,-1946.3267832489364,-1.859923765725519
2025-03-24,SBIN,SELL,-1073.8472346831604,101625.33990665144,104645.51392458353,-3020.1740179320914,-2.88609984763292
2025-04-15,ITC,SELL,-676.5545557324783,100948.78535091896,104645.51392458353,-3696.7285736645717,-3.532620209910526
2025-05-06,SBIN,BUY,-1019.590824462212,99929.19452645675,104645.51392458353,-4716.319398126783,-4.506948478962762
2025-05-28,SUZLON,BUY,1566.9589223187909,101496.15344877553,104645.51392458353,-3149.3604758080037,-3.009551348830587
2025-08-05,RELIANCE,BUY,-394.95556799999565,101101.19788077554,104645.51392458353,-3544.316043807994,-3.386973708555084
2025-10-31,SUZLON,SELL,-1051.9391196402476,100049.2587611353,104645.51392458353,-4596.255163448237,-4.392214239361173
2026-06-08,RELIANCE,SELL,1954.7527193711996,102004.0114805065,104645.51392458353,-2641.5024440770358,-2.524238588938201
2026-07-08,SUZLON,BUY,-829.6969451806041,101174.31453532589,104645.51392458353,-3471.199389257643,-3.3171029116062107
