Stock,Symbol,Signal Date,Signal,Entry Price,Stop Loss,Take Profit,Shares,Exit Date,Exit Price,Bars Held,Exit Reason,Status,Position Value,Entry Transaction Cost,Gross PnL,Exit Transaction Cost,Transaction Costs,Net PnL,Return %,Capital Before,Capital After
IRFC,IRFC-EQ,2021-08-25,SELL,23.02695,24.1782975,20.724255,868,2021-10-04,24.202475797499996,27,STOP_LOSS,CLOSED,19987.3926,9.9936963,-1020.3563922299975,10.503874496115,20.497570796115,-1040.8539630261125,-5.207552499999988,100000.0,98959.14603697389
TATAMOTORS,TATAMOTORS-EQ,2021-10-06,BUY,203.64343999999997,193.46126799999996,224.007784,97,2021-10-07,223.78377621599998,1,TAKE_PROFIT,CLOSED,19753.413679999998,9.876706839999999,1953.6126129520007,10.853513146476,20.730219986476,1932.8823929655248,9.785055000000005,98959.14603697389,100892.02842993941
IRFC,IRFC-EQ,2021-10-22,BUY,25.825799999999997,24.534509999999997,28.40838,781,2021-10-28,24.50997549,4,STOP_LOSS,CLOSED,20169.9498,10.084974899999999,-1027.658942309999,9.571145428844998,19.656120328845,-1047.315062638844,-5.1924524999999955,100892.02842993941,99844.71336730056
IRFC,IRFC-EQ,2021-12-21,SELL,22.4775,23.601375,20.22975,888,2022-01-14,23.624976375,18,STOP_LOSS,CLOSED,19960.02,9.98001,-1018.9590210000001,10.4894895105,20.4694995105,-1039.4285205105002,-5.207552500000001,99844.71336730056,98805.28484679006
SBIN,SBIN-EQ,2022-06-17,SELL,440.559,462.58695000000006,396.5031,44,2022-06-27,463.04953695,6,STOP_LOSS,CLOSED,19384.596,9.692298000000001,-989.583625799999,10.1870898129,19.8793878129,-1009.463013612899,-5.207552499999994,98805.28484679006,97795.82183317716
SUZLON,SUZLON-EQ,2022-06-24,SELL,7.1928,7.552440000000001,6.473520000000001,2208,2022-07-13,6.47999352,13,TAKE_PROFIT,CLOSED,15881.7024,7.940851200000001,1573.8767078400006,7.153912846080001,15.094764046080002,1558.7819437939206,9.814955000000005,79410.99654879006,80969.77849258398
SBIN,SBIN-EQ,2022-07-11,BUY,488.68819999999994,464.2537899999999,537.55702,33,2022-08-02,537.01946298,16,TAKE_PROFIT,CLOSED,16126.710599999999,8.0633553,1594.9316783400006,8.86082113917,16.924176439169997,1578.0075019008307,9.785055000000005,81906.17858197716,83484.18608387798
SUZLON,SUZLON-EQ,2022-09-08,BUY,10.16015,9.6521425,11.176165000000001,1986,2022-09-09,9.6424903575,1,STOP_LOSS,CLOSED,20178.0579,10.089028950000001,-1028.072050005,9.5749929249975,19.664021874997502,-1047.7360718799973,-5.192452499999999,100932.61127887192,99884.87520699193
TATAMOTORS,TATAMOTORS-EQ,2022-10-13,SELL,241.29846,253.36338300000003,217.16861400000002,53,2022-11-01,253.616746383,12,STOP_LOSS,CLOSED,12788.81838,6.394409190000001,-652.8691782989993,6.7208437791495,13.115252969149502,-665.9844312681488,-5.207552499999994,64337.735459461925,63671.75102819377
RELIANCE,RELIANCE-EQ,2022-10-13,SELL,1080.5483700000002,1134.5757885000003,972.4935330000002,18,2022-10-19,1135.7103642885002,4,STOP_LOSS,CLOSED,19449.870660000004,9.724935330000003,-992.9158971929992,10.221393278596501,19.946328608596502,-1012.8622258015957,-5.207552499999995,99884.87520699193,98872.01298119035
