Stock,Symbol,LTP,Price,Bid Price,Bid Quantity,Ask Price,Ask Quantity,Total Buy Quantity,Total Sell Quantity,Last Trade Quantity,Trade Volume,Average Price,SMMA20,SMMA120,RSI,ETQ 5m,ETQ 20m,ETQ 60m,Average LTP 20m,Average LTP 60m,Crossover,Crossover Price,Signal,Confidence,Liquidity Pass,LTP Pass,Reasons,Scan Time
SPORTKING,SPORTKING-EQ,203.53,203.53,203.53,9843.0,0.0,0.0,9843.0,0.0,130.0,192829.0,204.84,196.77334849086338,142.6952413820085,48.37263691288248,,,,,,NONE,,HOLD,50.0,False,True,"['Price is above SMMA20', 'SMMA20 is above SMMA120', 'RSI shows weak momentum']",2026-08-12 17:42:56
MCLEODRUSS,MCLEODRUSS-EQ,47.75,47.75,0.0,0.0,47.75,13735.0,0.0,13735.0,73.0,436901.0,47.44,54.24478295515996,50.80897182213573,29.73451327433628,,,,,,NONE,,HOLD,25.0,False,True,"['Price is below SMMA20', 'SMMA20 is above SMMA120', 'RSI is strongly oversold']",2026-08-12 17:43:01
BANKADD,BANKADD-EQ,59.33,59.33,0.0,0.0,0.0,0.0,0.0,0.0,39.0,343335.0,59.29,58.576300930570696,58.483151025506196,67.05539358600575,,,,,,BUY,59.39,BUY,85.0,False,True,"['Price is above SMMA20', 'SMMA20 is above SMMA120', 'RSI shows healthy bullish momentum']",2026-08-12 17:43:04
KRBL,KRBL-EQ,373.2,373.2,0.0,0.0,373.2,51.0,0.0,51.0,30.0,214572.0,370.42,363.6190735363841,355.93318865565107,71.78916109873799,,,,,,BUY,379.75,HOLD,50.0,False,True,"['Price is above SMMA20', 'SMMA20 is above SMMA120', 'RSI is overbought']",2026-08-12 17:43:06
AERONEU,AERONEU-EQ,84.07,84.07,0.0,0.0,84.07,5.0,0.0,5.0,60.0,42626.0,83.84,86.96870702628506,80.49772764960102,46.032992930086436,,,,,,NONE,,HOLD,10.0,False,True,"['Price is below SMMA20', 'SMMA20 is above SMMA120', 'RSI shows weak momentum']",2026-08-12 17:43:09
PETRONET,PETRONET-EQ,279.85,279.85,0.0,0.0,279.85,638.0,0.0,638.0,10.0,1408161.0,279.88,278.1268846477437,279.60589330354924,63.006535947712386,,,,,,NONE,,HOLD,25.0,False,True,"['Price is above SMMA20', 'SMMA20 is below SMMA120', 'RSI shows healthy bullish momentum']",2026-08-12 17:43:14
EKC,EKC-EQ,112.19,112.19,0.0,0.0,112.19,445.0,0.0,445.0,45.0,92282.0,112.4,112.45780280587446,113.47244917495443,58.324924318869826,,,,,,SELL,107.22,HOLD,35.0,False,True,"['Price is below SMMA20', 'SMMA20 is below SMMA120', 'RSI shows healthy bullish momentum']",2026-08-12 17:43:17
AMBUJACEM,AMBUJACEM-EQ,421.0,421.0,421.0,2792.0,0.0,0.0,2792.0,0.0,1.0,5400539.0,420.78,432.2772635410071,467.867437811051,48.98626553302812,,,,,,NONE,,SELL,70.0,False,True,"['Price is below SMMA20', 'SMMA20 is below SMMA120', 'RSI shows weak momentum']",2026-08-12 17:43:19
SWSOLAR,SWSOLAR-EQ,202.54,202.54,0.0,0.0,202.54,1513.0,0.0,1513.0,25.0,743629.0,201.79,213.59239998303798,204.11290134184532,43.39100346020759,,,,,,NONE,,HOLD,10.0,False,True,"['Price is below SMMA20', 'SMMA20 is above SMMA120', 'RSI shows weak momentum']",2026-08-12 17:43:22
GREENPANEL,GREENPANEL-EQ,176.66,176.66,0.0,0.0,0.0,0.0,0.0,0.0,334.0,574131.0,178.69,193.51279741758597,205.46287094820082,29.90361445783138,,,,,,NONE,,SELL,85.0,False,True,"['Price is below SMMA20', 'SMMA20 is below SMMA120', 'RSI is strongly oversold']",2026-08-12 17:43:24
