Symbol,LTP,SMMA20,SMMA120,RSI,Signal,Confidence,Reason,Historical Rows,Scan Time
SPORTKING-EQ,203.53,196.77,142.7,50.74,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:45:05
MCLEODRUSS-EQ,47.93,54.24,50.81,37.27,HOLD,66.67,Partial bearish conditions,168,2026-08-12 19:45:06
BANKADD-EQ,59.17,58.58,58.48,54.78,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:45:08
KRBL-EQ,373.2,363.62,355.93,56.72,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:45:09
AERONEU-EQ,84.95,86.97,80.5,44.84,HOLD,66.67,Partial bearish conditions,168,2026-08-12 19:45:10
PETRONET-EQ,279.4,278.13,279.61,51.22,HOLD,66.67,Partial bullish conditions,168,2026-08-12 19:45:12
EKC-EQ,112.19,112.46,113.47,50.76,HOLD,66.67,Partial bearish conditions,168,2026-08-12 19:45:14
AMBUJACEM-EQ,422.0,432.28,467.87,43.12,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:45:15
SWSOLAR-EQ,202.54,213.59,204.11,37.11,HOLD,66.67,Partial bearish conditions,168,2026-08-12 19:45:17
GREENPANEL-EQ,176.66,193.51,205.46,31.97,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:45:18
KEC-EQ,441.8,487.55,566.59,29.7,HOLD,66.67,Partial bearish conditions,168,2026-08-12 19:45:20
GSEC10IETF-EQ,266.05,263.46,260.17,56.3,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,153,2026-08-12 19:45:21
FINPIPE-EQ,161.35,167.24,172.57,42.19,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:45:22
NPBET-EQ,282.97,285.55,284.6,45.23,HOLD,66.67,Partial bearish conditions,168,2026-08-12 19:45:24
GREAVESCOT-EQ,193.76,216.96,182.98,34.02,HOLD,66.67,Partial bearish conditions,168,2026-08-12 19:45:25
INDORAMA-EQ,57.34,51.89,43.21,57.48,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:45:27
CREST-EQ,366.0,374.45,364.89,42.14,HOLD,66.67,Partial bearish conditions,168,2026-08-12 19:45:28
NIFTYBETA-EQ,271.4,267.99,270.47,58.8,HOLD,66.67,Partial bullish conditions,168,2026-08-12 19:45:29
IGPL-EQ,464.2,458.89,410.2,49.42,HOLD,66.67,Partial bullish conditions,168,2026-08-12 19:45:31
ENIL-EQ,101.31,106.87,110.49,33.39,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:45:32
COMMOIETF-EQ,100.41,100.94,99.65,47.15,HOLD,66.67,Partial bearish conditions,168,2026-08-12 19:45:34
MALUPAPER-EQ,31.56,32.22,32.61,45.66,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:45:35
KUANTUM-EQ,86.0,79.15,82.21,71.97,HOLD,33.33,No complete signal,168,2026-08-12 19:45:36
EMAMILTD-EQ,397.25,408.17,445.68,44.02,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:45:38
ESG-EQ,42.1,41.63,41.81,54.9,HOLD,66.67,Partial bullish conditions,168,2026-08-12 19:45:39
TARMAT-EQ,54.95,51.06,52.45,65.32,HOLD,66.67,Partial bullish conditions,168,2026-08-12 19:45:41
TARC-EQ,128.53,129.05,138.28,48.11,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:45:42
ADSL-EQ,113.75,118.06,123.28,41.17,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:45:43
MADHAV-EQ,34.27,35.29,36.98,45.84,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:45:45
RATNAVEER-EQ,210.01,187.95,164.42,66.01,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:45:46
KECL-EQ,145.3,129.42,107.95,61.58,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:45:48
RACE-EQ,101.0,109.88,117.45,34.9,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:45:49
ANDHRAPAP-EQ,59.4,61.66,64.07,39.52,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:45:51
20MICRONS-EQ,183.52,194.98,184.4,32.2,HOLD,66.67,Partial bearish conditions,168,2026-08-12 19:45:52
JAYBARMARU-EQ,130.8,154.2,116.85,33.01,HOLD,66.67,Partial bearish conditions,168,2026-08-12 19:45:53
FSL-EQ,274.5,272.38,267.22,48.19,HOLD,66.67,Partial bullish conditions,168,2026-08-12 19:45:55
SPARC-EQ,202.21,218.51,170.72,36.33,HOLD,66.67,Partial bearish conditions,168,2026-08-12 19:45:56
ADANIPOWER-EQ,206.15,214.62,184.56,38.49,HOLD,66.67,Partial bearish conditions,168,2026-08-12 19:45:58
KOLTEPATIL-EQ,492.7,400.44,371.43,74.35,HOLD,66.67,Partial bullish conditions,168,2026-08-12 19:45:59
KAVDEFENCE-EQ,58.59,59.63,64.23,48.46,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:46:00
VASCONEQ-EQ,31.26,33.23,37.2,40.25,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:46:02
RBLBANK-EQ,388.8,371.18,333.02,62.21,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:46:10
SANDUMA-EQ,202.89,206.87,211.39,45.09,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:46:11
MVGJL-EQ,156.4,161.23,164.02,43.61,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:46:13
NMDC-EQ,85.62,85.4,84.02,52.8,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:46:14
PAKKA-EQ,70.75,74.86,87.45,37.08,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:46:15
PURVA-EQ,210.5,215.35,218.33,44.22,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:46:17
ESILVER-EQ,234.93,226.33,240.82,64.57,HOLD,66.67,Partial bullish conditions,168,2026-08-12 19:46:18
SUMIT-EQ,52.35,50.26,50.21,53.04,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:46:19
TRIVENI-EQ,242.24,323.84,371.14,30.66,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:46:21
IOLCP-EQ,158.42,149.8,106.34,54.32,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:46:22
EVEREADY-EQ,353.7,350.74,330.44,50.73,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:46:24
SATIN-EQ,223.41,240.53,191.13,35.6,HOLD,66.67,Partial bearish conditions,168,2026-08-12 19:46:25
NIFTYBEES-EQ,278.32,275.35,277.81,56.22,HOLD,66.67,Partial bullish conditions,168,2026-08-12 19:46:26
ITETF-EQ,33.24,31.51,33.42,63.44,HOLD,66.67,Partial bullish conditions,168,2026-08-12 19:46:28
HDFCSENSEX-EQ,88.25,87.69,89.16,52.86,HOLD,66.67,Partial bullish conditions,168,2026-08-12 19:46:29
LICNETFN50-EQ,274.47,271.18,273.46,56.38,HOLD,66.67,Partial bullish conditions,168,2026-08-12 19:46:31
RADHIKAJWE-EQ,72.24,65.21,64.99,65.84,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:46:32
SAKSOFT-EQ,163.0,166.47,159.54,44.43,HOLD,66.67,Partial bearish conditions,168,2026-08-12 19:46:33
DCMNVL-EQ,179.26,151.7,138.26,75.26,HOLD,66.67,Partial bullish conditions,168,2026-08-12 19:46:35
HDFCGROWTH-EQ,123.75,118.33,118.92,68.78,HOLD,66.67,Partial bullish conditions,168,2026-08-12 19:46:36
TEAMGTY-EQ,220.01,228.37,254.01,45.02,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,167,2026-08-12 19:46:38
AURUM-EQ,224.97,219.28,191.32,52.09,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:46:39
MNC-EQ,34.86,33.79,32.21,66.99,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:46:40
GUJENERGY-EQ,274.35,296.22,361.59,40.83,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:46:42
JINDWORLD-EQ,36.74,34.54,28.5,53.59,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:46:43
SIRCA-EQ,435.9,417.64,437.57,61.59,HOLD,66.67,Partial bullish conditions,168,2026-08-12 19:46:45
CASTROLIND-EQ,188.38,186.25,184.94,53.73,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:46:46
OAL-EQ,365.0,356.1,306.13,50.5,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:46:47
AYMSYNTEX-EQ,254.2,240.47,205.07,59.58,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:46:49
HDFCQUAL-EQ,60.27,58.23,57.85,73.49,HOLD,66.67,Partial bullish conditions,168,2026-08-12 19:46:50
