Symbol,LTP,SMMA20,SMMA120,RSI,Signal,Confidence,Reason,Historical Rows,Scan Time
SPORTKING-EQ,203.53,196.77,142.7,50.74,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:45:05
BANKADD-EQ,59.17,58.58,58.48,54.78,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:45:08
KRBL-EQ,373.2,363.62,355.93,56.72,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:45:09
AMBUJACEM-EQ,422.0,432.28,467.87,43.12,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:45:15
GREENPANEL-EQ,176.66,193.51,205.46,31.97,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:45:18
GSEC10IETF-EQ,266.05,263.46,260.17,56.3,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,153,2026-08-12 19:45:21
FINPIPE-EQ,161.35,167.24,172.57,42.19,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:45:22
INDORAMA-EQ,57.34,51.89,43.21,57.48,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:45:27
ENIL-EQ,101.31,106.87,110.49,33.39,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:45:32
MALUPAPER-EQ,31.56,32.22,32.61,45.66,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:45:35
EMAMILTD-EQ,397.25,408.17,445.68,44.02,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:45:38
TARC-EQ,128.53,129.05,138.28,48.11,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:45:42
ADSL-EQ,113.75,118.06,123.28,41.17,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:45:43
MADHAV-EQ,34.27,35.29,36.98,45.84,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:45:45
RATNAVEER-EQ,210.01,187.95,164.42,66.01,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:45:46
KECL-EQ,145.3,129.42,107.95,61.58,BUY,100.0,Close above SMMA20; SMMA20 above SMMA120; RSI bullish range,168,2026-08-12 19:45:48
RACE-EQ,101.0,109.88,117.45,34.9,SELL,100.0,Close below SMMA20; SMMA20 below SMMA120; RSI bearish range,168,2026-08-12 19:45:49
