timestamp,category,check,status,value,threshold,message
2026-08-12T18:05:11.026142+00:00,INPUT,stage21_metrics_exists,PASS,EXISTS,EXISTS,
2026-08-12T18:05:11.026142+00:00,INPUT,stage21_metrics_readable,PASS,READABLE,READABLE,
2026-08-12T18:05:11.026142+00:00,ARTIFACT,health_report_exists,PASS,C:\Users\divya\Desktop\AI_Stock_Screener\data\stage21\stage21_health_report.csv,EXISTS,
2026-08-12T18:05:11.026142+00:00,ARTIFACT,paper_trades_exists,PASS,C:\Users\divya\Desktop\AI_Stock_Screener\data\stage21\stage21_paper_trades.csv,EXISTS,
2026-08-12T18:05:11.026142+00:00,ARTIFACT,monitoring_snapshot_exists,PASS,C:\Users\divya\Desktop\AI_Stock_Screener\data\stage21\stage21_monitoring_snapshot.csv,EXISTS,
2026-08-12T18:05:11.026142+00:00,ARTIFACT,metrics_exists,PASS,C:\Users\divya\Desktop\AI_Stock_Screener\data\stage21\stage21_metrics.json,EXISTS,
2026-08-12T18:05:11.026142+00:00,ARTIFACT,release_manifest_exists,PASS,C:\Users\divya\Desktop\AI_Stock_Screener\data\stage21\stage21_release_manifest.json,EXISTS,
2026-08-12T18:05:11.026142+00:00,STAGE21,stage21_ready,PASS,READY,READY,
2026-08-12T18:05:11.026142+00:00,HEALTH,health_pass_rate,PASS,1.0,0.95,
2026-08-12T18:05:11.026142+00:00,HEALTH,health_failed_checks,PASS,0,0,
2026-08-12T18:05:11.026142+00:00,PAPER,paper_trades_present,PASS,182,> 0,
2026-08-12T18:05:11.026142+00:00,PAPER,minimum_win_rate,PASS,0.5769230769230769,0.5,
2026-08-12T18:05:11.026142+00:00,PAPER,minimum_profit_factor,PASS,1.4700702873788425,1.0,
2026-08-12T18:05:11.026142+00:00,PAPER,minimum_sharpe,PASS,1.9075150493824928,0.0,
2026-08-12T18:05:11.026142+00:00,PAPER,maximum_drawdown,PASS,-0.4515526284852459,-0.5,
2026-08-12T18:05:11.026142+00:00,SAFETY,paper_trading_only,PASS,True,True,
2026-08-12T18:05:11.026142+00:00,PORTFOLIO,portfolio_positions_present,PASS,5,> 0,
